"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Cd271",1.93875045395294e-104,0.732687273672646,0.47,0.128,"6","Cd27"
"S1pr11",2.01289543393208e-104,0.511164830318186,0.414,0.111,"6","S1pr1"
"Ppia2",3.44142094769576e-104,0.423461013902768,0.992,0.939,"6","Ppia"
"Gimap12",3.19136360876e-103,0.53432327535419,0.526,0.171,"6","Gimap1"
"Ptpn186",6.67820785766786e-102,0.600581591794202,0.88,0.553,"6","Ptpn18"
"Cst7",7.67732357691911e-102,0.561698155777229,0.255,0.027,"6","Cst7"
"Peli12",1.98998318664969e-100,0.700911626736879,0.566,0.31,"6","Peli1"
"Sh2d1a1",2.81554629729682e-99,0.572800574988348,0.259,0.029,"6","Sh2d1a"
"Bcl11b1",1.06762760242366e-95,0.591726358717967,0.267,0.033,"6","Bcl11b"
"Rapgef61",8.96262985806963e-93,0.712109410805146,0.47,0.18,"6","Rapgef6"
"Cd7",6.1515003352396e-92,0.715853854165897,0.294,0.046,"6","Cd7"
"Gm87305",1.53154052381213e-91,0.656400927184729,0.72,0.47,"6","Gm8730"
"Gm83692",3.05991942084589e-90,0.626956425057323,0.375,0.085,"6","Gm8369"
"Ccl5",1.01852235269251e-89,1.4151012999988,0.437,0.153,"6","Ccl5"
"Rpl7a3",5.96612383204135e-89,0.435159450395489,0.974,0.907,"6","Rpl7a"
"Ccnd26",1.80386696749144e-88,0.694634357810281,0.667,0.305,"6","Ccnd2"
"Rhoh2",2.56117656431908e-88,0.600703539715725,0.456,0.141,"6","Rhoh"
"Snrpg3",9.19880277448536e-86,0.521873151758986,0.854,0.706,"6","Snrpg"
"Runx3",3.07724809856861e-81,0.675997329438212,0.372,0.111,"6","Runx3"
"Gm269172",1.69841418055297e-80,0.628661445563943,0.461,0.249,"6","Gm26917"
"Hspe12",1.9392722431541e-80,0.509607812845537,0.806,0.669,"6","Hspe1"
"Eef1d2",3.34681644268508e-80,0.515660272921704,0.795,0.62,"6","Eef1d"
"Ptpn22",1.34892570585463e-79,0.662853680436504,0.348,0.091,"6","Ptpn22"
"Rpl23a-ps34",2.33826849609228e-79,0.56812405188258,0.771,0.599,"6","Rpl23a-ps3"
"Mif1",4.0847445767484e-79,0.567235482928474,0.589,0.405,"6","Mif"
"Cd526",7.49185642921364e-78,0.256474025163693,0.962,0.735,"6","Cd52"
"Smc41",1.1278341534573e-77,0.687043812528339,0.458,0.206,"6","Smc4"
"Uba523",3.28335764574598e-77,0.814981340633964,0.914,0.779,"6","Uba52"
"Pik3ip1",9.29041712527264e-75,0.554023887400958,0.291,0.061,"6","Pik3ip1"
"Gimap5",1.2057690342272e-74,0.540713319568981,0.322,0.074,"6","Gimap5"
"Wdr894",1.98123871374065e-73,0.590675709002939,0.73,0.566,"6","Wdr89"
"Cd692",3.2030582111559e-72,0.62718256833144,0.346,0.088,"6","Cd69"
"Btg14",1.30006180078798e-70,0.408168243894248,0.955,0.848,"6","Btg1"
"Slamf61",1.4736075380699e-70,0.586234250553758,0.297,0.065,"6","Slamf6"
"Cd24",3.01163657145274e-70,0.541212112130974,0.486,0.184,"6","Cd2"
"Rps12-ps32",7.76840212250371e-70,0.458542363717714,0.833,0.722,"6","Rps12-ps3"
"Rpl9-ps63",9.48665291516425e-70,0.532555831722782,0.614,0.435,"6","Rpl9-ps6"
"Ifi47",5.59527150842294e-68,0.561389921607062,0.309,0.08,"6","Ifi47"
"Eef22",1.57943546142925e-67,0.394242407708206,0.955,0.888,"6","Eef2"
"Naca2",3.10410282852674e-67,0.380690466486267,0.974,0.9,"6","Naca"
"Dgka1",5.24078501506372e-67,0.52232951461155,0.292,0.075,"6","Dgka"
"Gm118086",5.09078332397679e-66,0.516978244918812,0.643,0.452,"6","Gm11808"
"Jak12",1.40582818923455e-62,0.52811182489869,0.595,0.382,"6","Jak1"
"Eif3e3",1.76828487167396e-59,0.470765021928478,0.752,0.594,"6","Eif3e"
"Hmha14",1.20549790561332e-58,0.515116154415725,0.72,0.466,"6","Hmha1"
"Selplg3",9.76745218998759e-58,0.426259103446425,0.723,0.456,"6","Selplg"
"Tbc1d10c2",1.96107610332037e-57,0.508201841612209,0.345,0.107,"6","Tbc1d10c"
"Crlf33",2.45136684676599e-56,0.515782211311866,0.55,0.297,"6","Crlf3"
"Tubb52",3.60269177350827e-56,0.4534188128978,0.724,0.495,"6","Tubb5"
"Emg13",5.12940724859285e-56,0.479549121980959,0.524,0.346,"6","Emg1"
"Smad71",1.6475100354316e-55,0.492437241428752,0.34,0.125,"6","Smad7"
"Gm98444",3.57898382494883e-53,0.49636887976769,0.48,0.269,"6","Gm9844"
"Gm20003",2.73727804669654e-51,0.456892155272539,0.56,0.404,"6","Gm2000"
"Igfbp41",4.41434553470845e-51,0.566820755917143,0.283,0.082,"6","Igfbp4"
"Sell5",2.18196970197365e-50,0.442231656618553,0.542,0.27,"6","Sell"
"Rnf138",4.52314620330069e-50,0.475582229363625,0.27,0.11,"6","Rnf138"
"Gltscr23",1.42570835027696e-49,0.421507921435783,0.706,0.56,"6","Gltscr2"
"Ly6c25",1.64665948240224e-49,0.428955926314985,0.511,0.264,"6","Ly6c2"
"Snrpf1",1.17028590217126e-48,0.368979056649206,0.715,0.633,"6","Snrpf"
"H2-Q6",1.20250128218398e-48,0.499996410968559,0.279,0.088,"6","H2-Q6"
"Gtf2i1",2.14982351923549e-48,0.436703929930558,0.298,0.162,"6","Gtf2i"
"S1pr42",5.85142998304613e-48,0.390523527894399,0.304,0.106,"6","S1pr4"
"Rinl1",8.33773607764503e-48,0.489715706787917,0.325,0.124,"6","Rinl"
"Mbnl12",4.7829059300948e-47,0.428311020936811,0.768,0.63,"6","Mbnl1"
"Il2rg2",4.49901215653189e-46,0.498131583551408,0.425,0.19,"6","Il2rg"
"Cox7a2l3",7.96196087443555e-46,0.359168573060502,0.887,0.795,"6","Cox7a2l"
"Atp1b35",9.97040576951295e-46,0.427319186990183,0.61,0.455,"6","Atp1b3"
"Eif3h4",1.83639852822968e-45,0.374611468842803,0.815,0.697,"6","Eif3h"
"Chd34",2.80839946625656e-45,0.457927682881359,0.414,0.248,"6","Chd3"
"Srpk11",3.95623327829638e-45,0.453106975762904,0.288,0.145,"6","Srpk1"
"Fyb5",5.08773430909069e-45,0.428232328329478,0.556,0.3,"6","Fyb"
"Psmb85",6.93957304836115e-44,0.398377972817344,0.752,0.563,"6","Psmb8"
"Leprotl13",8.31849007491767e-44,0.440989629191828,0.419,0.267,"6","Leprotl1"
"Psme11",1.25546350545977e-43,0.391011736063756,0.702,0.573,"6","Psme1"
"Lfng1",2.86613953035741e-43,0.515620446986836,0.373,0.186,"6","Lfng"
"Sept6",2.01699558809361e-42,0.434950530742101,0.3,0.107,"6","Sept6"
"Acp52",5.42326270112883e-42,0.473144388981622,0.39,0.179,"6","Acp5"
